prediction,Teacher,True
5,RF,9
2,RF,9
7,RF,9
7,RF,9
7,RF,9
9,RF,9
9,RF,9
4,RF,9
3,RF,9
2,RF,9
4,RF,9
2,RF,9
5,RF,9
6,RF,9
4,RF,9
4,RF,9
6,RF,9
5,RF,9
2,RF,9
6,RF,9
1,RF,9
3,RF,9
1,RF,9
4,RF,9
3,RF,9
10,RF,9
2,RF,9
5,RF,9
5,RF,9
6,RF,9
5,RF,9
3,RF,9
6,RF,9
0,RF,9
4,RF,9
4,RF,9
1,RF,9
6,RF,9
7,RF,9
5,RF,9
8,RF,9
4,RF,9
7,RF,9
8,RF,9
6,RF,9
9,RF,9
4,RF,9
7,RF,9
6,RF,9
10,RF,9
5,RF,9
9,RF,9
4,RF,9
8,RF,9
5,RF,9
3,RF,9
9,RF,9
5,RF,9
6,RF,9
4,RF,9
8,RF,9
5,RF,9
7,RF,9
8,RF,9
7,RF,9
5,RF,9
3,RF,9
7,RF,9
7,RF,9
4,RF,9
0,RF,9
2,RF,9
3,RF,9
6,RF,9
3,RF,9
10,RF,9
6,RF,9
6,RF,9
7,RF,9
7,RF,9
4,RF,9
4,RF,9
4,RF,9
8,RF,9
3,RF,9
9,RF,9
4,RF,9
8,RF,9
3,RF,9
4,RF,9
4,RF,9
4,RF,9
8,RF,9
7,RF,9
7,RF,9
2,RF,9
7,RF,9
4,RF,9
8,RF,9
5,RF,9
4,RF,9
5,RF,9
9,RF,9
8,RF,9
5,RF,9
3,RF,9
5,RF,9
1,RF,9
7,RF,9
6,RF,9
8,RF,9
6,RF,9
0,RF,9
2,RF,9
6,RF,9
6,RF,9
6,RF,9
2,RF,9
3,RF,9
5,RF,9
3,RF,9
5,RF,9
6,RF,9
5,RF,9
7,RF,9
7,RF,9
6,RF,9
5,RF,9
4,RF,9
6,RF,9
4,RF,9
7,RF,9
6,RF,9
6,RF,9
3,RF,9
2,RF,9
2,RF,9
6,RF,9
5,RF,9
3,RF,9
10,RF,9
4,RF,9
3,RF,9
6,RF,9
4,RF,9
4,RF,9
5,RF,9
8,RF,9
8,RF,9
5,RF,9
7,RF,9
1,RF,9
9,RF,9
7,RF,9
2,RF,9
8,RF,9
2,RF,9
6,RF,9
8,RF,9
5,RF,9
7,RF,9
4,RF,9
7,RF,9
7,RF,9
5,RF,9
3,RF,9
4,RF,9
3,RF,9
4,RF,9
5,RF,9
5,RF,9
7,RF,9
6,RF,9
10,RF,9
6,RF,9
6,RF,9
5,RF,9
1,RF,9
5,RF,9
6,RF,9
10,RF,9
2,RF,9
3,RF,9
5,RF,9
8,RF,9
10,RF,9
4,RF,9
5,RF,9
0,RF,9
7,RF,9
6,RF,9
5,RF,9
2,RF,9
3,RF,9
9,RF,9
6,RF,9
7,RF,9
7,RF,9
3,RF,9
6,RF,9
3,RF,9
6,RF,9
2,RF,9
6,RF,9
7,RF,9
7,RF,9
5,RF,9
5,RF,9
3,RF,9
7,RF,9
7,RF,9
9,RF,9
3,RF,9
5,RF,9
6,RF,9
3,RF,9
2,RF,9
2,RF,9
2,RF,9
0,RF,9
3,RF,9
8,RF,9
5,RF,9
4,RF,9
4,RF,9
4,RF,9
4,RF,9
8,RF,9
4,RF,9
8,RF,9
8,RF,9
0,RF,9
6,RF,9
1,RF,9
3,RF,9
6,RF,9
4,RF,9
4,RF,9
3,RF,9
7,RF,9
4,RF,9
6,RF,9
8,RF,9
6,RF,9
1,RF,9
5,RF,9
2,RF,9
4,RF,9
6,RF,9
4,RF,9
7,RF,9
6,RF,9
5,RF,9
3,RF,9
5,RF,9
3,RF,9
0,RF,9
6,RF,9
4,RF,9
7,RF,9
7,RF,9
5,RF,9
6,RF,9
2,RF,9
1,RF,9
4,RF,9
7,RF,9
5,RF,9
8,RF,9
4,RF,9
5,RF,9
0,RF,9
1,RF,9
8,RF,9
6,RF,9
5,RF,9
5,RF,9
3,RF,9
4,RF,9
6,RF,9
6,RF,9
3,RF,9
6,RF,9
4,RF,9
3,RF,9
6,RF,9
2,RF,9
4,RF,9
7,RF,9
5,RF,9
7,RF,9
7,RF,9
2,RF,9
5,RF,9
6,RF,9
5,RF,9
10,RF,9
8,RF,9
0,RF,9
1,RF,9
6,RF,9
4,RF,9
4,RF,9
2,RF,9
6,RF,9
2,RF,9
8,RF,9
0,RF,9
2,RF,9
7,RF,9
3,RF,9
3,RF,9
3,RF,9
4,RF,9
4,RF,9
9,RF,9
5,RF,9
7,RF,9
4,RF,9
4,RF,9
5,RF,9
3,RF,9
6,RF,9
3,RF,9
6,RF,9
5,RF,9
7,RF,9
4,RF,9
4,RF,9
6,RF,9
7,RF,9
0,RF,9
6,RF,9
1,RF,9
7,RF,9
7,RF,9
8,RF,9
5,RF,9
5,RF,9
7,RF,9
5,RF,9
3,RF,9
5,RF,9
8,RF,9
4,RF,9
8,RF,9
2,RF,9
8,RF,9
3,RF,9
2,RF,9
7,RF,9
5,RF,9
7,RF,9
7,RF,9
5,RF,9
7,RF,9
4,RF,9
2,RF,9
5,RF,9
9,RF,9
8,RF,9
4,RF,9
7,RF,9
6,RF,9
5,RF,9
3,RF,9
8,RF,9
6,RF,9
7,RF,9
4,RF,9
6,RF,9
5,RF,9
6,RF,9
5,RF,9
4,RF,9
6,RF,9
7,RF,9
6,RF,9
2,RF,9
4,RF,9
7,RF,9
1,RF,9
4,RF,9
6,RF,9
6,RF,9
7,RF,9
9,RF,9
4,RF,9
6,RF,9
5,RF,9
9,RF,9
4,RF,9
4,RF,9
8,RF,9
5,RF,9
0,RF,9
1,RF,9
4,RF,9
8,RF,9
5,RF,9
7,RF,9
5,RF,9
4,RF,9
7,RF,9
7,RF,9
6,RF,9
5,RF,9
4,RF,9
3,RF,9
9,RF,9
8,RF,9
8,RF,9
9,RF,9
4,RF,9
8,RF,9
8,RF,9
3,RF,9
2,RF,9
8,RF,9
3,RF,9
3,RF,9
9,RF,9
3,RF,9
7,RF,9
7,RF,9
4,RF,9
8,RF,9
3,RF,9
3,RF,9
5,RF,9
4,RF,9
7,RF,9
9,RF,9
4,RF,9
3,RF,9
3,RF,9
5,RF,9
2,RF,9
6,RF,9
4,RF,9
7,RF,9
3,RF,9
5,RF,9
3,RF,9
4,RF,9
7,RF,9
3,RF,9
5,RF,9
6,RF,9
1,RF,9
5,RF,9
7,RF,9
3,RF,9
5,RF,9
0,RF,9
9,RF,9
8,RF,9
8,RF,9
4,RF,9
8,RF,9
6,RF,9
5,RF,9
3,RF,9
2,RF,9
6,RF,9
4,RF,9
4,RF,9
8,RF,9
1,RF,9
4,RF,9
5,RF,9
4,RF,9
3,RF,9
3,RF,9
7,RF,9
6,RF,9
4,RF,9
5,RF,9
5,RF,9
9,RF,9
8,RF,9
4,RF,9
4,RF,9
6,RF,9
6,RF,9
5,RF,9
7,RF,9
3,RF,9
2,RF,9
1,RF,9
2,RF,9
7,RF,9
3,RF,9
4,RF,9
8,RF,9
0,RF,9
6,RF,9
3,RF,9
4,RF,9
6,RF,9
4,RF,9
5,RF,9
2,RF,9
4,RF,9
6,RF,9
9,RF,9
6,RF,9
2,RF,9
7,RF,9
3,RF,9
6,RF,9
3,RF,9
4,RF,9
1,RF,9
7,RF,9
1,RF,9
5,RF,9
3,RF,9
6,RF,9
5,RF,9
4,RF,9
8,RF,9
2,RF,9
3,RF,9
5,RF,9
9,RF,9
5,RF,9
3,RF,9
6,RF,9
5,RF,9
5,RF,9
7,RF,9
2,RF,9
8,RF,9
3,RF,9
6,RF,9
7,RF,9
3,RF,9
7,RF,9
5,RF,9
7,RF,9
6,RF,9
0,RF,9
1,RF,9
2,RF,9
5,RF,9
7,RF,9
10,RF,9
4,RF,9
6,RF,9
2,RF,9
9,RF,9
2,RF,9
4,RF,9
5,RF,9
7,RF,9
4,RF,9
2,RF,9
3,RF,9
7,RF,9
6,RF,9
4,RF,9
6,RF,9
8,RF,9
5,RF,9
6,RF,9
5,RF,9
4,RF,9
10,RF,9
5,RF,9
4,RF,9
2,RF,9
7,RF,9
6,RF,9
3,RF,9
5,RF,9
3,RF,9
7,RF,9
5,RF,9
5,RF,9
9,RF,9
2,RF,9
3,RF,9
4,RF,9
8,RF,9
6,RF,9
9,RF,9
6,RF,9
7,RF,9
10,RF,9
8,RF,9
6,RF,9
3,RF,9
2,RF,9
0,RF,9
4,RF,9
9,RF,9
1,RF,9
5,RF,9
7,RF,9
7,RF,9
4,RF,9
9,RF,9
5,RF,9
6,RF,9
9,RF,9
3,RF,9
8,RF,9
3,RF,9
4,RF,9
1,RF,9
4,RF,9
7,RF,9
3,RF,9
10,RF,9
7,RF,9
8,RF,9
2,RF,9
5,RF,9
7,RF,9
10,RF,9
7,RF,9
9,RF,9
5,RF,9
4,RF,9
4,RF,9
3,RF,9
4,RF,9
7,RF,9
4,RF,9
3,RF,9
3,RF,9
3,RF,9
4,RF,9
6,RF,9
7,RF,9
3,RF,9
3,RF,9
8,RF,9
4,RF,9
10,RF,9
4,RF,9
4,RF,9
6,RF,9
4,RF,9
7,RF,9
6,RF,9
8,RF,9
5,RF,9
1,RF,9
8,RF,9
4,RF,9
4,RF,9
4,RF,9
8,RF,9
2,RF,9
8,RF,9
4,RF,9
7,RF,9
5,RF,9
7,RF,9
6,RF,9
3,RF,9
5,RF,9
3,RF,9
6,RF,9
6,RF,9
6,RF,9
5,RF,9
6,RF,9
5,RF,9
4,RF,9
4,RF,9
3,RF,9
6,RF,9
7,RF,9
4,RF,9
7,RF,9
6,RF,9
3,RF,9
7,RF,9
6,RF,9
10,RF,9
7,RF,9
2,RF,9
6,RF,9
5,RF,9
3,RF,9
7,RF,9
5,RF,9
3,RF,9
6,RF,9
1,RF,9
4,RF,9
5,RF,9
5,RF,9
6,RF,9
3,RF,9
9,RF,9
4,RF,9
2,RF,9
1,RF,9
4,RF,9
7,RF,9
7,RF,9
7,RF,9
7,RF,9
3,RF,9
5,RF,9
9,RF,9
8,RF,9
4,RF,9
2,RF,9
7,RF,9
4,RF,9
3,RF,9
3,RF,9
8,RF,9
4,RF,9
6,RF,9
7,RF,9
4,RF,9
4,RF,9
3,RF,9
5,RF,9
9,RF,9
9,RF,9
5,RF,9
5,RF,9
2,RF,9
7,RF,9
5,RF,9
2,RF,9
4,RF,9
7,RF,9
5,RF,9
5,RF,9
9,RF,9
7,RF,9
7,RF,9
3,RF,9
3,RF,9
1,RF,9
5,RF,9
6,RF,9
1,RF,9
4,RF,9
4,RF,9
6,RF,9
2,RF,9
4,RF,9
5,RF,9
5,RF,9
3,RF,9
3,RF,9
7,RF,9
8,RF,9
4,RF,9
6,RF,9
6,RF,9
6,RF,9
5,RF,9
8,RF,9
3,RF,9
2,RF,9
2,RF,9
7,RF,9
2,RF,9
8,RF,9
1,RF,9
10,RF,9
5,RF,9
4,RF,9
4,RF,9
4,RF,9
3,RF,9
8,RF,9
5,RF,9
3,RF,9
6,RF,9
9,RF,9
6,RF,9
6,RF,9
6,RF,9
2,RF,9
4,RF,9
1,RF,9
6,RF,9
2,RF,9
4,RF,9
7,RF,9
5,RF,9
2,RF,9
2,RF,9
5,RF,9
2,RF,9
6,RF,9
5,RF,9
4,RF,9
4,RF,9
6,RF,9
5,RF,9
0,RF,9
5,RF,9
4,RF,9
4,RF,9
5,RF,9
7,RF,9
3,RF,9
2,RF,9
9,RF,9
7,RF,9
6,RF,9
2,RF,9
5,RF,9
8,RF,9
6,RF,9
5,RF,9
3,RF,9
8,RF,9
6,RF,9
3,RF,9
7,RF,9
5,RF,9
7,RF,9
1,RF,9
8,RF,9
3,RF,9
5,RF,9
7,RF,9
2,RF,9
5,RF,9
7,RF,9
7,RF,9
4,RF,9
7,RF,9
3,RF,9
5,RF,9
2,RF,9
2,RF,9
3,RF,9
5,RF,9
8,RF,9
6,RF,9
8,RF,9
7,RF,9
6,RF,9
5,RF,9
7,RF,9
10,RF,9
5,RF,9
7,RF,9
6,RF,9
6,RF,9
6,RF,9
4,RF,9
5,RF,9
5,RF,9
3,RF,9
4,RF,9
3,RF,9
1,RF,9
5,RF,9
4,RF,9
3,RF,9
7,RF,9
4,RF,9
2,RF,9
3,RF,9
6,RF,9
2,RF,9
5,RF,9
3,RF,9
6,RF,9
7,RF,9
8,RF,9
4,RF,9
6,RF,9
6,RF,9
2,RF,9
2,RF,9
6,RF,9
7,RF,9
4,RF,9
5,RF,9
6,RF,9
4,RF,9
4,RF,9
5,RF,9
1,RF,9
5,RF,9
1,RF,9
3,RF,9
6,RF,9
5,RF,9
8,RF,9
6,RF,9
5,RF,9
2,RF,9
5,RF,9
6,RF,9
5,RF,9
7,RF,9
4,RF,9
5,RF,9
6,RF,9
3,RF,9
3,RF,9
3,RF,9
5,RF,9
8,RF,9
8,RF,9
4,RF,9
5,RF,9
2,RF,9
8,RF,9
9,RF,9
8,RF,9
3,RF,9
6,RF,9
2,RF,9
9,RF,9
3,RF,9
8,RF,9
4,RF,9
2,RF,9
1,RF,9
6,RF,9
4,RF,9
7,RF,9
5,RF,9
7,RF,9
0,RF,9
8,RF,9
3,RF,9
8,RF,9
6,RF,9
5,RF,9
3,RF,9
5,RF,9
4,RF,9
7,RF,9
5,RF,9
4,RF,9
7,RF,9
3,RF,9
5,RF,9
6,RF,9
4,RF,9
2,RF,9
6,RF,9
9,RF,9
5,RF,9
4,RF,9
5,RF,9
3,RF,9
5,RF,9
3,RF,9
5,RF,9
7,RF,9
5,RF,9
9,RF,9
0,RF,9
4,RF,9
6,RF,9
10,RF,9
6,RF,9
5,RF,9
5,RF,9
5,RF,9
2,RF,9
4,RF,9
5,RF,9
3,RF,9
1,RF,9
5,RF,9
1,RF,9
7,RF,9
8,RF,9
7,RF,9
3,RF,9
6,RF,9
3,RF,9
5,RF,9
3,RF,9
1,RF,9
9,RF,9
7,RF,9
4,RF,9
7,RF,9
5,RF,9
5,RF,9
5,RF,9
0,RF,9
3,RF,9
4,RF,9
7,RF,9
6,RF,9
9,RF,9
0,RF,9
7,RF,9
8,RF,9
0,RF,9
3,RF,9
5,RF,9
6,RF,9
3,RF,9
8,RF,9
3,RF,9
7,RF,9
4,RF,9
2,RF,9
3,RF,9
3,RF,9
6,RF,9
6,RF,9
10,RF,9
7,RF,9
4,RF,9
2,RF,9
7,RF,9
6,RF,9
4,RF,9
5,RF,9
6,RF,9
3,RF,9
4,RF,9
3,RF,9
3,RF,9
4,RF,9
4,RF,9
5,RF,9
10,RF,9
4,RF,9
5,RF,9
7,RF,9
6,RF,9
3,RF,9
2,RF,9
1,RF,9
5,RF,9
5,RF,9
5,RF,9
3,RF,9
6,RF,9
7,RF,9
5,RF,9
3,RF,9
5,RF,9
5,RF,9
1,RF,9
8,RF,9
6,RF,9
3,RF,9
4,RF,9
5,RF,9
3,RF,9
2,RF,9
3,RF,9
8,RF,9
8,RF,9
8,RF,9
5,RF,9
3,RF,9
3,RF,9
7,RF,9
6,RF,9
4,RF,9
6,RF,9
8,RF,9
7,RF,9
5,RF,9
5,RF,9
7,RF,9
7,RF,9
0,RF,9
4,RF,9
8,RF,9
6,RF,9
3,RF,9
6,RF,9
7,RF,9
6,RF,9
6,RF,9
8,RF,9
4,RF,9
6,RF,9
3,RF,9
4,RF,9
6,RF,9
6,RF,9
3,RF,9
3,RF,9
8,RF,9
4,RF,9
6,RF,9
9,RF,9
4,RF,9
7,RF,9
5,RF,9
5,RF,9
5,RF,9
6,RF,9
6,RF,9
5,RF,9
9,RF,9
5,RF,9
7,RF,9
5,RF,9
9,RF,9
4,RF,9
9,RF,9
9,RF,9
2,RF,9
4,RF,9
7,RF,9
6,RF,9
8,RF,9
5,RF,9
10,RF,9
7,RF,9
4,RF,9
6,RF,9
8,RF,9
6,RF,9
10,RF,9
5,RF,9
7,RF,9
10,RF,9
7,RF,9
8,RF,9
3,RF,9
6,RF,9
8,RF,9
10,RF,9
5,RF,9
9,RF,9
1,RF,9
5,RF,9
6,RF,9
0,RF,9
4,RF,9
6,RF,9
4,RF,9
8,RF,9
6,RF,9
7,RF,9
4,RF,9
5,RF,9
5,RF,9
5,RF,9
5,RF,9
6,RF,9
7,RF,9
3,RF,9
1,RF,9
5,RF,9
7,RF,9
8,RF,9
5,RF,9
8,RF,9
5,RF,9
7,RF,9
6,RF,9
7,RF,9
8,RF,9
2,RF,9
6,RF,9
1,RF,9
4,RF,9
4,RF,9
3,RF,9
4,RF,9
3,RF,9
4,RF,9
10,RF,9
5,RF,9
4,RF,9
7,RF,9
4,RF,9
2,RF,9
5,RF,9
1,RF,9
10,RF,9
4,RF,9
8,RF,9
4,RF,9
8,RF,9
10,RF,9
5,RF,9
6,RF,9
2,RF,9
4,RF,9
5,RF,9
2,RF,9
4,RF,9
3,RF,9
3,RF,9
5,RF,9
7,RF,9
7,RF,9
4,RF,9
5,RF,9
8,RF,9
1,RF,9
7,RF,9
2,RF,9
3,RF,9
6,RF,9
5,RF,9
6,RF,9
8,RF,9
2,RF,9
10,RF,9
3,RF,9
6,RF,9
8,RF,9
4,RF,9
4,RF,9
3,RF,9
3,RF,9
6,RF,9
5,RF,9
2,RF,9
8,RF,9
6,RF,9
2,RF,9
3,RF,9
4,RF,9
0,RF,9
6,RF,9
4,RF,9
2,RF,9
4,RF,9
6,RF,9
1,RF,9
4,RF,9
6,RF,9
5,RF,9
3,RF,9
2,RF,9
10,RF,9
6,RF,9
5,RF,9
10,RF,9
6,RF,9
7,RF,9
5,RF,9
10,RF,9
4,RF,9
4,RF,9
5,RF,9
3,RF,9
5,RF,9
9,RF,9
2,RF,9
4,RF,9
6,RF,9
5,RF,9
6,RF,9
8,RF,9
5,RF,9
6,RF,9
2,RF,9
6,RF,9
6,RF,9
5,RF,9
6,RF,9
4,RF,9
10,RF,9
4,RF,9
5,RF,9
4,RF,9
7,RF,9
4,RF,9
7,RF,9
5,RF,9
3,RF,9
7,RF,9
4,RF,9
9,RF,9
3,RF,9
3,RF,9
3,RF,9
7,RF,9
4,RF,9
6,RF,9
6,RF,9
4,RF,9
2,RF,9
6,RF,9
5,RF,9
0,RF,9
2,RF,9
5,RF,9
2,RF,9
3,RF,9
5,RF,9
9,RF,9
4,RF,9
7,RF,9
5,RF,9
5,RF,9
6,RF,9
7,RF,9
2,RF,9
5,RF,9
3,RF,9
3,RF,9
5,RF,9
8,RF,9
2,RF,9
6,RF,9
2,RF,9
4,RF,9
5,RF,9
4,RF,9
7,RF,9
9,RF,9
7,RF,9
6,RF,9
0,RF,9
3,RF,9
6,RF,9
6,RF,9
3,RF,9
7,RF,9
6,RF,9
4,RF,9
6,RF,9
4,RF,9
6,RF,9
3,RF,9
7,RF,9
2,RF,9
3,RF,9
3,RF,9
5,RF,9
5,RF,9
7,RF,9
5,RF,9
4,RF,9
8,RF,9
2,RF,9
5,RF,9
5,RF,9
3,RF,9
8,RF,9
4,RF,9
8,RF,9
7,RF,9
4,RF,9
2,RF,9
8,RF,9
4,RF,9
2,RF,9
5,RF,9
9,RF,9
6,RF,9
7,RF,9
8,RF,9
3,RF,9
2,RF,9
5,RF,9
2,RF,9
0,RF,9
5,RF,9
7,RF,9
2,RF,9
4,RF,9
5,RF,9
5,RF,9
2,RF,9
3,RF,9
5,RF,9
8,RF,9
4,RF,9
4,RF,9
3,RF,9
5,RF,9
4,RF,9
2,RF,9
6,RF,9
6,RF,9
10,RF,9
9,RF,9
2,RF,9
6,RF,9
6,RF,9
6,RF,9
5,RF,9
7,RF,9
9,RF,9
2,RF,9
4,RF,9
6,RF,9
3,RF,9
3,RF,9
5,RF,9
3,RF,9
3,RF,9
5,RF,9
10,RF,9
3,RF,9
1,RF,9
4,RF,9
5,RF,9
6,RF,9
7,RF,9
4,RF,9
5,RF,9
10,RF,9
5,RF,9
5,RF,9
5,RF,9
6,RF,9
1,RF,9
5,RF,9
1,RF,9
3,RF,9
0,RF,9
4,RF,9
5,RF,9
4,RF,9
7,RF,9
7,RF,9
8,RF,9
0,RF,9
4,RF,9
5,RF,9
9,RF,9
8,RF,9
8,RF,9
4,RF,9
9,RF,9
4,RF,9
5,RF,9
2,RF,9
5,RF,9
7,RF,9
6,RF,9
8,RF,9
4,RF,9
5,RF,9
4,RF,9
1,RF,9
8,RF,9
4,RF,9
10,RF,9
5,RF,9
8,RF,9
4,RF,9
6,RF,9
3,RF,9
4,RF,9
6,RF,9
5,RF,9
1,RF,9
4,RF,9
4,RF,9
5,RF,9
4,RF,9
2,RF,9
6,RF,9
3,RF,9
8,RF,9
2,RF,9
5,RF,9
4,RF,9
6,RF,9
1,RF,9
5,RF,9
8,RF,9
0,RF,9
5,RF,9
8,RF,9
7,RF,9
4,RF,9
7,RF,9
6,RF,9
4,RF,9
6,RF,9
4,RF,9
6,RF,9
6,RF,9
3,RF,9
1,RF,9
1,RF,9
6,RF,9
5,RF,9
7,RF,9
9,RF,9
10,RF,9
4,RF,9
2,RF,9
2,RF,9
9,RF,9
6,RF,9
8,RF,9
3,RF,9
5,RF,9
1,RF,9
4,RF,9
5,RF,9
4,RF,9
7,RF,9
2,RF,9
7,RF,9
3,RF,9
2,RF,9
5,RF,9
5,RF,9
3,RF,9
4,RF,9
6,RF,9
3,RF,9
5,RF,9
5,RF,9
9,RF,9
6,RF,9
8,RF,9
9,RF,9
7,RF,9
6,RF,9
10,RF,9
4,RF,9
8,RF,9
4,RF,9
5,RF,9
3,RF,9
8,RF,9
4,RF,9
4,RF,9
2,RF,9
6,RF,9
2,RF,9
10,RF,9
4,RF,9
7,RF,9
3,RF,9
5,RF,9
